species,collection_no,collection_name,specimen_ID,part,length,amber,age_ma
Glaesus gibsoni,110737,Baltic Amber (University of Gdansk MAI collection),MAI 477,forewing,0.6,amber,35.95
Heterothrips nani,123419,"Baltic Amber, Deutsches Entomologische Institut collection",Hoffeins 522-2,body,0.6,amber,35.95
Jerseucoila plesiosoma,110895,White Oaks Pit (Old Crossman's Clay Pits),AMNH NJ-1006,body,0.6,amber,91.85
Kachinus antennatus,111688,Burmese amber (AMNH collection),AMNH Bu-113 ,body,0.6,amber,96.55
Matsucoccus larssoni,123762,Baltic Amber (University of Copenhagen ZMUC Collection),ZMUC Cocc 11,body,0.6,amber,35.95
Mindarus parvus,123762,Baltic Amber (University of Copenhagen ZMUC Collection),Mortensen coll A-3,hindwing,0.6,amber,35.95
Nannohelea grogani,123762,Baltic Amber (University of Copenhagen ZMUC Collection),ZMC 200,wing,0.6,amber,35.95
Protothrips speratus,127170,"Baltic Amber, Judge Fritsch (Goldap) collection (Kaliningrad Museum of Amber)",Fritsch Nr 6,forewing,0.6,amber,35.95
Schizoptera dominicana,124475,"Dominican amber, La Toca mine (Poinar coll)",Poinar He-4-75B,forewing,0.6,amber,17.13
Schizoptera dominicana,124475,"Dominican amber, La Toca mine (Poinar coll)",Poinar He-4-75B-1,forewing,0.6,amber,17.13
Sphaeropsocoides canadensis,122383,"Grassy Lake, Medicine Hat (CNC May 1973 collection)",CAS 642,forewing,0.6,amber,77.05
Stethynium townesi,155460,Baltic amber (Oehlke collection),NA,forewing,0.6,amber,35.95
Rosahendersonia prisca,111688,Burmese amber (AMNH collection),AMNH Bu-835,forewing,0.605,amber,96.55
Culicoides doyeni,164386,"La Robini?re (La Garnache), Vend?e amber",IGR.GAR-127.2,wing,0.608,amber,91.55
Protoxythrips ursulae,120813,Baltic Amber (Museum Ziemi collection),MZ 20879 TG,body,0.608,amber,35.95
Anaphothrips fuscicaudeus,129227,Bitterfeld amber (MfN collection),MfN MB.I.790,forewing,0.61,amber,25.565
Bruescelio platycephalus,108769,Pe±acerrada outcrop I,MCNA 9536,forewing,0.61,amber,110.515
Culicoides antilleanus,122473,Dominican amber (USNM Brodzinsky Lopez-Pena coll),USNM 9137.b,wing,0.61,amber,17.13
Henria xystica,122999,"Rovno Amber, Fedorovskii area, Klesov locality (SIZC KF collection)",KF-34,body,0.61,amber,35.95
Micropeplus hopkinsi,123352,Lava camp mine,CNC 11078,elytron,0.61,not_amber,6.2895
Phtuaria fimbriae,123493,Baltic amber (AMNH collection),UCRC_ENT 00237978,body,0.61,amber,35.95
Synnastothrips vitreus,129227,Bitterfeld amber (MfN collection),MfN MB.I.785,forewing,0.61,amber,25.565
Taeniothrips klimti,129227,Bitterfeld amber (MfN collection),MfN MB.I.799,forewing,0.61,amber,25.565
Protoxythrips sepultus,127170,"Baltic Amber, Judge Fritsch (Goldap) collection (Kaliningrad Museum of Amber)",Fritsch Nr 11,forewing,0.614,amber,35.95
Apticoccus longitenuis,138801,"Ain Dara, Caza Aley, Lebanese amber (Azar coll)",Azar AD-20,body,0.615,amber,123.955
Apticoccus fortis,122471,"Mdeyrij-Hammana, Casa Baabda (Azar coll)",Azar HAM-1669A,forewing,0.62,amber,123.955
Stethynium townesi,155460,Baltic amber (Oehlke collection),NA,body,0.62,amber,35.95
Stigmaphron orphne,35056,"Taimyr amber, Yantardakh Hill (PIN collection 3311)",PIN 3311/64,forewing,0.62,amber,84.95
Anteucoila delicia,122389,"Grassy Lake, Medicine Hat (TMP 96.9 accession)",RTMP 96.9.785,body,0.63,amber,77.05
Ceraphron ceuthonymus,123708,Dominican amber (SEMC coll),SEMC-F001022,body,0.63,amber,17.13
Emeria simetitia,123432,Sicilian amber (Bologna coll),MPM-UB 16618/9,body,0.63,amber,8.4705
Frirenia vesana,122997,"Rovno Amber, Klesov locality (SIZC K collection)",K-85,body,0.63,amber,35.95
Germaraphis (Germaraphis) baltica,123762,Baltic Amber (University of Copenhagen ZMUC Collection),"5 Henningsen coll, 1 Mortensen coll, 1 Hansen coll",body,0.63,amber,35.95
Henria baltica,140311,Baltic Amber (Booth Museum BMB coll),BMB 166,body,0.63,amber,35.95
Hippocoon evadne,35056,"Taimyr amber, Yantardakh Hill (PIN collection 3311)",PIN 3311/65,forewing,0.63,amber,84.95
Mymaropsis turolensis,91626,San Just,CPT 4077,body,0.63,amber,108.665
Pseudosmittia kodrulae,107340,Sakhalin Amber (PIN collection 3387),PIN 3387/153,wing,0.63,amber,44.55
Tithonoscelio resinalis,108769,Pe±acerrada outcrop I,MCNA 8633.3,body,0.63,amber,110.515
Vincinescia alisae,113621,"Rovno Amber, Ukryantar factory material (SIZC UA collection)",UA-4021,wing,0.63,amber,35.95
Archiaustroconops hammanensis,122471,"Mdeyrij-Hammana, Casa Baabda (Azar coll)",Azar 226,wing,0.64,amber,123.955
Chimeromyia acuta,123017,"Bchare Mountain, Lebanese amber (AMNH coll)","AMNH L-AE38 (additional female in Grimaldi et al., 2009 - location not given)",wing,0.64,amber,127.2
Emeria simetitia,123432,Sicilian amber (Bologna coll),MPM-UB 16618/9,forewing,0.64,amber,8.4705
Frirenia marmarygma,122997,"Rovno Amber, Klesov locality (SIZC K collection)",K-3252,body,0.64,amber,35.95
Inka minuta,35056,"Taimyr amber, Yantardakh Hill (PIN collection 3311)",PIN 3311/583,body,0.64,amber,84.95
Inka minuta,35056,"Taimyr amber, Yantardakh Hill (PIN collection 3311)",PIN 3311/584,forewing,0.64,amber,84.95
Leptoconops (Leptoconops) burmiticus,123020,Burmese amber (BMNH coll),BMNH In.20700,wing,0.64,amber,96.55
Leptoconops (Palaeoconops) amplificatus,123017,"Bchare Mountain, Lebanese amber (AMNH coll)",AMNH,wing,0.64,amber,127.2
Necrobythus pulcher,122357,"Grassy Lake, Medicine Hat (UASM collection)",UASM 332547,hindwing,0.64,amber,77.05
Dendrothrips giecewiczi,120813,Baltic Amber (Museum Ziemi collection),MZ 15035 TG,forewing,0.644,amber,35.95
Protanaphothrips suspensus,120813,Baltic Amber (Museum Ziemi collection),MZ 14687 TG,body,0.644,amber,35.95
Archiaustroconops alavensis,108769,Pe±acerrada outcrop I,MCNA 8836.1,wing,0.65,amber,110.515
Archiculicoides schleei,124276,"Jezzine, Lebanese amber (SMNS collection)",SMNS C39/1,wing,0.65,amber,127.2
